NOMBRE_DEPTO,PROVINCIA,CODIGO_MUNICIPIO,NOMBRE_MPIO,Nombre
ANTIOQUIA,OCCIDENTE,05138,CAÑASGORDAS,Cañasgordas
ANTIOQUIA,OCCIDENTE,05234,DABEIBA,Dabeiba
ANTIOQUIA,OCCIDENTE,05240,EBÉJICO,Ebéjico
ANTIOQUIA,OCCIDENTE,05284,FRONTINO,Frontino
ANTIOQUIA,OCCIDENTE,05306,GIRALDO,Giraldo
ANTIOQUIA,OCCIDENTE,05347,HELICONIA,Heliconia
ANTIOQUIA,OCCIDENTE,05411,LIBORINA,Liborina
ANTIOQUIA,OCCIDENTE,05501,OLAYA,Olaya
ANTIOQUIA,OCCIDENTE,05543,PEQUE,Peque
ANTIOQUIA,OCCIDENTE,05628,SABANALARGA,Sabanalarga
ANTIOQUIA,OCCIDENTE,05656,SAN JERÓNIMO,San Jerónimo
ANTIOQUIA,OCCIDENTE,05042,SANTAFÉ DE ANTIOQUIA,Santafé De Antioquia
ANTIOQUIA,OCCIDENTE,05761,SOPETRaN,Sopetran
ANTIOQUIA,OCCIDENTE,05842,URAMITA,Uramita
ANTIOQUIA,ORIENTE,05002,ABEJORRAL,Abejorral
ANTIOQUIA,ORIENTE,05021,ALEJANDRÍA,Alejandría
ANTIOQUIA,ORIENTE,05055,ARGELIA,Argelia
ANTIOQUIA,ORIENTE,05148,CARMEN DE VIBORAL,Carmen De Viboral
ANTIOQUIA,ORIENTE,05197,COCORNÁ,Cocorná
ANTIOQUIA,ORIENTE,05206,CONCEPCIÓN,Concepción
ANTIOQUIA,ORIENTE,05313,GRANADA,Granada
ANTIOQUIA,ORIENTE,05318,GUARNE,Guarne
ANTIOQUIA,ORIENTE,05321,GUATAPE,Guatape
ANTIOQUIA,ORIENTE,05376,LA CEJA,La Ceja
ANTIOQUIA,ORIENTE,05400,LA UNIÓN,La Unión
ANTIOQUIA,ORIENTE,05440,MARINILLA,Marinilla
ANTIOQUIA,ORIENTE,05483,NARIÑO,Nariño
ANTIOQUIA,ORIENTE,05541,PEÑOL,Peñol
ANTIOQUIA,ORIENTE,05607,RETIRO,Retiro
ANTIOQUIA,ORIENTE,05615,RIONEGRO,Rionegro
ANTIOQUIA,ORIENTE,05649,SAN CARLOS,San Carlos
ANTIOQUIA,ORIENTE,05652,SAN FRANCISCO,San Francisco
ANTIOQUIA,ORIENTE,05660,SAN LUIS,San Luis
ANTIOQUIA,ORIENTE,05667,SAN RAFAEL,San Rafael
ANTIOQUIA,ORIENTE,05674,SAN VICENTE,San Vicente
ANTIOQUIA,ORIENTE,05697,SANTUARIO,Santuario
ANTIOQUIA,ORIENTE,05756,SONSON,Sonson
ANTIOQUIA,SUROESTE,05030,AMAGa,Amaga
ANTIOQUIA,SUROESTE,05034,ANDES,Andes
ANTIOQUIA,SUROESTE,05036,ANGELOPOLIS,Angelopolis
ANTIOQUIA,SUROESTE,05091,BETANIA,Betania
ANTIOQUIA,SUROESTE,05093,BETULIA,Betulia
ANTIOQUIA,SUROESTE,05125,CAICEDO,Caicedo
ANTIOQUIA,SUROESTE,05145,CARAMANTA,Caramanta
ANTIOQUIA,SUROESTE,05101,CIUDAD BOLÍVAR,Ciudad Bolívar
ANTIOQUIA,SUROESTE,05209,CONCORDIA,Concordia
ANTIOQUIA,SUROESTE,05282,FREDONIA,Fredonia
ANTIOQUIA,SUROESTE,05353,HISPANIA,Hispania
ANTIOQUIA,SUROESTE,05364,JARDÍN,Jardín
ANTIOQUIA,SUROESTE,05368,JERICÓ,Jericó
ANTIOQUIA,SUROESTE,05390,LA PINTADA,La Pintada
ANTIOQUIA,SUROESTE,05467,MONTEBELLO,Montebello
ANTIOQUIA,SUROESTE,05576,PUEBLORRICO,Pueblorrico
ANTIOQUIA,SUROESTE,05642,SALGAR,Salgar
ANTIOQUIA,SUROESTE,05679,SANTA BaRBARA,Santa Barbara
ANTIOQUIA,SUROESTE,05789,TÁMESIS,Támesis
ANTIOQUIA,SUROESTE,05792,TARSO,Tarso
ANTIOQUIA,SUROESTE,05809,TITIRIBÍ,Titiribí
ANTIOQUIA,SUROESTE,05847,URRAO,Urrao
ANTIOQUIA,SUROESTE,05856,VALPARAISO,Valparaiso
ANTIOQUIA,SUROESTE,05861,VENECIA,Venecia
ANTIOQUIA,URABA,05045,APARTADÓ,Apartadó
ANTIOQUIA,URABA,05051,ARBOLETES,Arboletes
ANTIOQUIA,URABA,05147,CAREPA,Carepa
ANTIOQUIA,URABA,05172,CHIGORODÓ,Chigorodó
ANTIOQUIA,URABA,05475,MURINDÓ,Murindó
ANTIOQUIA,URABA,05480,MUTATA,Mutata
ANTIOQUIA,URABA,05490,NECOCLÍ,Necoclí
ANTIOQUIA,URABA,05659,SAN JUAN DE URABA,San Juan De Uraba
ANTIOQUIA,URABA,05665,SAN PEDRO DE URABA,San Pedro De Uraba
ANTIOQUIA,URABA,05837,TURBO,Turbo
ANTIOQUIA,URABA,05873,VIGÍA DEL FUERTE,Vigía Del Fuerte
ANTIOQUIA,VALLE DEL ABURRA,05079,BARBOSA,Barbosa
ANTIOQUIA,VALLE DEL ABURRA,05088,BELLO,Bello
ANTIOQUIA,VALLE DEL ABURRA,05129,CALDAS,Caldas
ANTIOQUIA,VALLE DEL ABURRA,05212,COPACABANA,Copacabana
ANTIOQUIA,VALLE DEL ABURRA,05266,ENVIGADO,Envigado
ANTIOQUIA,VALLE DEL ABURRA,05308,GIRARDOTA,Girardota
ANTIOQUIA,VALLE DEL ABURRA,05360,ITAGUI,Itagui
ANTIOQUIA,VALLE DEL ABURRA,05380,LA ESTRELLA,La Estrella
ANTIOQUIA,VALLE DEL ABURRA,05001,MEDELLÍN,Medellín
ANTIOQUIA,VALLE DEL ABURRA,05631,SABANETA,Sabaneta
ARAUCA,ARAUCA,81001,ARAUCA,Arauca
ARAUCA,ARAUCA,81065,ARAUQUITA,Arauquita
ARAUCA,ARAUCA,81220,CRAVO NORTE,Cravo Norte
ARAUCA,ARAUCA,81300,FORTUL,Fortul
ARAUCA,ARAUCA,81591,PUERTO RONDÓN,Puerto Rondón
ARAUCA,ARAUCA,81736,SARAVENA,Saravena
ARAUCA,ARAUCA,81794,TAME,Tame
ARCHIPIELAGO DE SAN ANDRES,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA Y SANTA CATALINA,Providencia Y Santa Catalina
ARCHIPIELAGO DE SAN ANDRES,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDReS,San Andres
ATLÁNTICO,NORTE,08001,BARRANQUILLA,Barranquilla
ATLÁNTICO,NORTE,08296,GALAPA,Galapa
ATLÁNTICO,NORTE,08433,MALAMBO,Malambo
ATLÁNTICO,NORTE,08573,PUERTO COLOMBIA,Puerto Colombia
ATLÁNTICO,NORTE,08758,SOLEDAD,Soledad
ATLÁNTICO,SUR,08137,CAMPO DE LA CRUZ,Campo De La Cruz
ATLÁNTICO,SUR,08141,CANDELARIA,Candelaria
ATLÁNTICO,SUR,08421,LURUACO,Luruaco
ATLÁNTICO,SUR,08436,MANATi,Manati
ATLÁNTICO,SUR,08606,REPELON,Repelon
ATLÁNTICO,SUR,08675,SANTA LUCiA,Santa Lucia
ATLÁNTICO,SUR,08770,SUAN,Suan
ATLÁNTICO,CENTRO ORIENTE,08078,BARANOA,Baranoa
ATLÁNTICO,CENTRO ORIENTE,08520,PALMAR DE VARELA,Palmar De Varela
ATLÁNTICO,CENTRO ORIENTE,08558,POLONUEVO,Polonuevo
ATLÁNTICO,CENTRO ORIENTE,08560,PONEDERA,Ponedera
ATLÁNTICO,CENTRO ORIENTE,08634,Sabanagrande,Sabanagrande
ATLÁNTICO,CENTRO ORIENTE,08638,SABANALARGA,Sabanalarga
ATLÁNTICO,CENTRO ORIENTE,08685,Santo Tomas,Santo Tomas
ATLÁNTICO,OCCIDENTAL,08372,JUAN DE ACOSTA,Juan De Acosta
ATLÁNTICO,OCCIDENTAL,08549,PIOJÓ,Piojó
ATLÁNTICO,OCCIDENTAL,08832,TUBARA,Tubara
ATLÁNTICO,OCCIDENTAL,08849,USIACURi,Usiacuri
BOGOTÁ D.C.,BOGOTA,11001,BOGOTA D.C.,Bogota D.C.
BOLIVAR,DEPRESION MOMPOSINA,13188,CICUCO,Cicuco
BOLIVAR,DEPRESION MOMPOSINA,13300,HATILLO DE LOBA,Hatillo De Loba
BOLIVAR,DEPRESION MOMPOSINA,13440,MARGARITA,Margarita
BOLIVAR,DEPRESION MOMPOSINA,13468,MOMPÓS,Mompós
BOLIVAR,DEPRESION MOMPOSINA,13650,SAN FERNANDO,San Fernando
BOLIVAR,DEPRESION MOMPOSINA,13780,TALAIGUA NUEVO,Talaigua Nuevo
BOLIVAR,DIQUE BOLIVARENSE,13052,ARJONA,Arjona
BOLIVAR,DIQUE BOLIVARENSE,13062,ARROYOHONDO,Arroyohondo
BOLIVAR,DIQUE BOLIVARENSE,13140,CALAMAR,Calamar
BOLIVAR,DIQUE BOLIVARENSE,13001,CARTAGENA,Cartagena
BOLIVAR,DIQUE BOLIVARENSE,13222,CLEMENCIA,Clemencia
BOLIVAR,DIQUE BOLIVARENSE,13433,MAHATES,Mahates
BOLIVAR,DIQUE BOLIVARENSE,13620,SAN CRISTOBAL,San Cristobal
BOLIVAR,DIQUE BOLIVARENSE,13647,SAN ESTANISLAO,San Estanislao
BOLIVAR,DIQUE BOLIVARENSE,13673,SANTA CATALINA,Santa Catalina
BOLIVAR,DIQUE BOLIVARENSE,13683,SANTA ROSA DE LIMA,Santa Rosa De Lima
BOLIVAR,DIQUE BOLIVARENSE,13760,SOPLAVIENTO,Soplaviento
BOLIVAR,DIQUE BOLIVARENSE,13836,TURBACO,Turbaco
BOLIVAR,DIQUE BOLIVARENSE,13838,TURBANA,Turbana
BOLIVAR,DIQUE BOLIVARENSE,13873,VILLANUEVA,Villanueva
BOLIVAR,LOBA,13030,ALTOS DEL ROSARIO,Altos Del Rosario
BOLIVAR,LOBA,13074,BARRANCO DE LOBA,Barranco De Loba
BOLIVAR,LOBA,13268,EL PEÑON,El Peñon
BOLIVAR,LOBA,13580,REGIDOR,Regidor
BOLIVAR,LOBA,13600,RÍO VIEJO,Río Viejo
BOLIVAR,LOBA,13667,SAN MARTIN DE LOBA,San Martin De Loba
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13042,ARENAL,Arenal
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13160,CANTAGALLO,Cantagallo
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13473,MORALES,Morales
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13670,SAN PABLO,San Pablo
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13688,SANTA ROSA DEL SUR,Santa Rosa Del Sur
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13744,SIMITÍ,Simití
BOLIVAR,MOJANA BOLIVARENSE,13006,ACHÍ,Achí
BOLIVAR,MOJANA BOLIVARENSE,13430,MAGANGUÉ,Magangué
BOLIVAR,MOJANA BOLIVARENSE,13458,MONTECRISTO,Montecristo
BOLIVAR,MOJANA BOLIVARENSE,13549,PINILLOS,Pinillos
BOLIVAR,MOJANA BOLIVARENSE,13655,SAN JACINTO DEL CAUCA,San Jacinto Del Cauca
BOLIVAR,MOJANA BOLIVARENSE,13810,TIQUISIO,Tiquisio
BOLIVAR,MONTES DE MARIA,13244,CARMEN DE BOLÍVAR,Carmen De Bolívar
BOLIVAR,MONTES DE MARIA,13212,CÓRDOBA,Córdoba
BOLIVAR,MONTES DE MARIA,13248,EL GUAMO,El Guamo
BOLIVAR,MONTES DE MARIA,13442,MARÍA LA BAJA,María La Baja
BOLIVAR,MONTES DE MARIA,13654,SAN JACINTO,San Jacinto
BOLIVAR,MONTES DE MARIA,13657,SAN JUAN NEPOMUCENO,San Juan Nepomuceno
BOLIVAR,MONTES DE MARIA,13894,ZAMBRANO,Zambrano
BOYACÁ,CENTRO,15232,CHÍQUIZA,Chíquiza
BOYACÁ,CENTRO,15187,CHIVATÁ,Chivatá
BOYACÁ,CENTRO,15204,CÓMBITA,Cómbita
BOYACÁ,CENTRO,15224,CUCAITA,Cucaita
BOYACÁ,CENTRO,15476,MOTAVITA,Motavita
BOYACÁ,CENTRO,15500,OICATÁ,Oicatá
BOYACÁ,CENTRO,15646,SAMACÁ,Samacá
BOYACÁ,CENTRO,15740,SIACHOQUE,Siachoque
BOYACÁ,CENTRO,15762,SORA,Sora
BOYACÁ,CENTRO,15764,SORACÁ,Soracá
BOYACÁ,CENTRO,15763,SOTAQUIRÁ,Sotaquirá
BOYACÁ,CENTRO,15814,TOCA,Toca
BOYACÁ,CENTRO,15001,TUNJA,Tunja
BOYACÁ,CENTRO,15837,TUTA,Tuta
BOYACÁ,CENTRO,15861,VENTAQUEMADA,Ventaquemada
BOYACÁ,GUTIERREZ,15180,CHISCAS,Chiscas
BOYACÁ,GUTIERREZ,15223,CUBARÁ,Cubará
BOYACÁ,GUTIERREZ,15244,EL COCUY,El Cocuy
BOYACÁ,GUTIERREZ,15248,EL ESPINO,El Espino
BOYACÁ,GUTIERREZ,15317,GUACAMAYAS,Guacamayas
BOYACÁ,GUTIERREZ,15332,GÜICÁN,Güicán
BOYACÁ,GUTIERREZ,15522,PANQUEBA,Panqueba
BOYACÁ,LA LIBERTAD,15377,LABRANZAGRANDE,Labranzagrande
BOYACÁ,LA LIBERTAD,15518,PAJARITO,Pajarito
BOYACÁ,LA LIBERTAD,15533,PAYA,Paya
BOYACÁ,LA LIBERTAD,15550,PISBA,Pisba
BOYACÁ,LENGUPA,15090,BERBEO,Berbeo
BOYACÁ,LENGUPA,15135,CAMPOHERMOSO,Campohermoso
BOYACÁ,LENGUPA,15455,MIRAFLORES,Miraflores
BOYACÁ,LENGUPA,15514,PÁEZ,Páez
BOYACÁ,LENGUPA,15660,SAN EDUARDO,San Eduardo
BOYACÁ,LENGUPA,15897,ZETAQUIRA,Zetaquira
BOYACÁ,MARQUEZ,15104,BOYACÁ,Boyacá
BOYACÁ,MARQUEZ,15189,CIÉNEGA,Ciénega
BOYACÁ,MARQUEZ,15367,JENESANO,Jenesano
BOYACÁ,MARQUEZ,15494,NUEVO COLÓN,Nuevo Colón
BOYACÁ,MARQUEZ,15599,RAMIRIQUÍ,Ramiriquí
BOYACÁ,MARQUEZ,15621,RONDÓN,Rondón
BOYACÁ,MARQUEZ,15804,TIBANÁ,Tibaná
BOYACÁ,MARQUEZ,15835,TURMEQUÉ,Turmequé
BOYACÁ,MARQUEZ,15842,UMBITA,Umbita
BOYACÁ,MARQUEZ,15879,VIRACACHÁ,Viracachá
BOYACÁ,NEIRA,15172,CHINAVITA,Chinavita
BOYACÁ,NEIRA,15299,GARAGOA,Garagoa
BOYACÁ,NEIRA,15425,MACANAL,Macanal
BOYACÁ,NEIRA,15511,PACHAVITA,Pachavita
BOYACÁ,NEIRA,15667,SAN LUIS DE GACENO,San Luis De Gaceno
BOYACÁ,NEIRA,15690,SANTA MARÍA,Santa María
BOYACÁ,NORTE,15097,BOAVITA,Boavita
BOYACÁ,NORTE,15218,COVARACHÍA,Covarachía
BOYACÁ,NORTE,15403,LA UVITA,La Uvita
BOYACÁ,NORTE,15673,SAN MATEO,San Mateo
BOYACÁ,NORTE,15720,SATIVANORTE,Sativanorte
BOYACÁ,NORTE,15723,SATIVASUR,Sativasur
BOYACÁ,NORTE,15753,SOATÁ,Soatá
BOYACÁ,NORTE,15774,SUSACÓN,Susacón
BOYACÁ,NORTE,15810,TIPACOQUE,Tipacoque
BOYACÁ,OCCIDENTE,15106,BRICEÑO,Briceño
BOYACÁ,OCCIDENTE,15109,BUENAVISTA,Buenavista
BOYACÁ,OCCIDENTE,15131,CALDAS,Caldas
BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,Chiquinquirá
BOYACÁ,OCCIDENTE,15212,COPER,Coper
BOYACÁ,OCCIDENTE,15401,LA VICTORIA,La Victoria
BOYACÁ,OCCIDENTE,15442,MARIPÍ,Maripí
BOYACÁ,OCCIDENTE,15480,MUZO,Muzo
BOYACÁ,OCCIDENTE,15507,OTANCHE,Otanche
BOYACÁ,OCCIDENTE,15531,PAUNA,Pauna
BOYACÁ,OCCIDENTE,15572,PUERTO BOYACa,Puerto Boyaca
BOYACÁ,OCCIDENTE,15580,QUÍPAMA,Quípama
BOYACÁ,OCCIDENTE,15632,SABOYÁ,Saboyá
BOYACÁ,OCCIDENTE,15676,SAN MIGUEL DE SEMA,San Miguel De Sema
BOYACÁ,OCCIDENTE,15681,SAN PABLO BORBUR,San Pablo Borbur
BOYACÁ,OCCIDENTE,15832,TUNUNGUÁ,Tununguá
BOYACÁ,ORIENTE,15022,ALMEIDA,Almeida
BOYACÁ,ORIENTE,15236,CHIVOR,Chivor
BOYACÁ,ORIENTE,15322,GUATEQUE,Guateque
BOYACÁ,ORIENTE,15325,GUAYATÁ,Guayatá
BOYACÁ,ORIENTE,15380,LA CAPILLA,La Capilla
BOYACÁ,ORIENTE,15761,SOMONDOCO,Somondoco
BOYACÁ,ORIENTE,15778,SUTATENZA,Sutatenza
BOYACÁ,ORIENTE,15798,TENZA,Tenza
BOYACÁ,RICAURTE,15051,ARCABUCO,Arcabuco
BOYACÁ,RICAURTE,15185,CHITARAQUE,Chitaraque
BOYACÁ,RICAURTE,15293,GACHANTIVÁ,Gachantivá
BOYACÁ,RICAURTE,15469,MONIQUIRÁ,Moniquirá
BOYACÁ,RICAURTE,15600,RÁQUIRA,Ráquira
BOYACÁ,RICAURTE,15638,SÁCHICA,Sáchica
BOYACÁ,RICAURTE,15664,SAN JOSÉ DE PARE,San José De Pare
BOYACÁ,RICAURTE,15696,SANTA SOFÍA,Santa Sofía
BOYACÁ,RICAURTE,15686,SANTANA,Santana
BOYACÁ,RICAURTE,15776,SUTAMARCHÁN,Sutamarchán
BOYACÁ,RICAURTE,15808,TINJACÁ,Tinjacá
BOYACÁ,RICAURTE,15816,TOGÜÍ,Togüí
BOYACÁ,RICAURTE,15407,VILLA DE LEYVA,Villa De Leyva
BOYACÁ,SUGAMUXI,15047,AQUITANIA,Aquitania
BOYACÁ,SUGAMUXI,15226,CUÍTIVA,Cuítiva
BOYACÁ,SUGAMUXI,15272,FIRAVITOBA,Firavitoba
BOYACÁ,SUGAMUXI,15296,GAMEZA,Gameza
BOYACÁ,SUGAMUXI,15362,IZA,Iza
BOYACÁ,SUGAMUXI,15464,MONGUA,Mongua
BOYACÁ,SUGAMUXI,15466,MONGUÍ,Monguí
BOYACÁ,SUGAMUXI,15491,NOBSA,Nobsa
BOYACÁ,SUGAMUXI,15542,PESCA,Pesca
BOYACÁ,SUGAMUXI,15759,SOGAMOSO,Sogamoso
BOYACÁ,SUGAMUXI,15806,TIBASOSA,Tibasosa
BOYACÁ,SUGAMUXI,15820,TÓPAGA,Tópaga
BOYACÁ,SUGAMUXI,15822,TOTA,Tota
BOYACÁ,TUNDAMA,15087,BELÉN,Belén
BOYACÁ,TUNDAMA,15114,BUSBANZÁ,Busbanzá
BOYACÁ,TUNDAMA,15162,CERINZA,Cerinza
BOYACÁ,TUNDAMA,15215,CORRALES,Corrales
BOYACÁ,TUNDAMA,15238,DUITAMA,Duitama
BOYACÁ,TUNDAMA,15276,FLORESTA,Floresta
BOYACÁ,TUNDAMA,15516,PAIPA,Paipa
BOYACÁ,TUNDAMA,15693,SAN ROSA VITERBO,San Rosa Viterbo
BOYACÁ,TUNDAMA,15839,TUTAZÁ,Tutazá
BOYACÁ,VALDERRAMA,15092,BETÉITIVA,Betéitiva
BOYACÁ,VALDERRAMA,15183,CHITA,Chita
BOYACÁ,VALDERRAMA,15368,JERICÓ,Jericó
BOYACÁ,VALDERRAMA,15537,PAZ DE RÍO,Paz De Río
BOYACÁ,VALDERRAMA,15757,SOCHA,Socha
BOYACÁ,VALDERRAMA,15755,SOCOTÁ,Socotá
BOYACÁ,VALDERRAMA,15790,TASCO,Tasco
CALDAS,ALTO OCCIDENTE,17272,FILADELFIA,Filadelfia
CALDAS,ALTO OCCIDENTE,17388,LA MERCED,La Merced
CALDAS,ALTO OCCIDENTE,17442,MARMATO,Marmato
CALDAS,ALTO OCCIDENTE,17614,RIOSUCIO,Riosucio
CALDAS,ALTO OCCIDENTE,17777,SUPÍA,Supía
CALDAS,ALTO ORIENTE,17433,MANZANARES,Manzanares
CALDAS,ALTO ORIENTE,17444,MARQUETALIA,Marquetalia
CALDAS,ALTO ORIENTE,17446,MARULANDA,Marulanda
CALDAS,ALTO ORIENTE,17541,PENSILVANIA,Pensilvania
CALDAS,BAJO OCCIDENTE,17042,ANSERMA,Anserma
CALDAS,BAJO OCCIDENTE,17088,BELALCÁZAR,Belalcázar
CALDAS,BAJO OCCIDENTE,17616,RISARALDA,Risaralda
CALDAS,BAJO OCCIDENTE,17665,SAN JOSÉ,San José
CALDAS,BAJO OCCIDENTE,17877,VITERBO,Viterbo
CALDAS,CENTRO,17174,CHINCHINa,Chinchina
CALDAS,CENTRO,17001,MANIZALES,Manizales
CALDAS,CENTRO,17486,NEIRA,Neira
CALDAS,CENTRO,17524,PALESTINA,Palestina
CALDAS,CENTRO,17873,VILLAMARiA,Villamaria
CALDAS,NORTE,17013,AGUADAS,Aguadas
CALDAS,NORTE,17050,ARANZAZU,Aranzazu
CALDAS,NORTE,17513,PÁCORA,Pácora
CALDAS,NORTE,17653,SALAMINA,Salamina
CALDAS,ORIENTE,17380,LA DORADA,La Dorada
CALDAS,ORIENTE,17495,NORCASIA,Norcasia
CALDAS,ORIENTE,17662,SAMANÁ,Samaná
CALDAS,ORIENTE,17867,VICTORIA,Victoria
CAQUETA,CAQUETA,18029,ALBANIA,Albania
CAQUETA,CAQUETA,18094,BELÉN DE LOS ANDAQUIES,Belén De Los Andaquies
CAQUETA,CAQUETA,18150,CARTAGENA DEL CHAIRÁ,Cartagena Del Chairá
CAQUETA,CAQUETA,18205,CURRILLO,Currillo
CAQUETA,CAQUETA,18247,EL DONCELLO,El Doncello
CAQUETA,CAQUETA,18256,EL PAUJIL,El Paujil
CAQUETA,CAQUETA,18001,FLORENCIA,Florencia
CAQUETA,CAQUETA,18410,LA MONTAÑITA,La Montañita
CAQUETA,CAQUETA,18460,MILaN,Milan
CAQUETA,CAQUETA,18479,MORELIA,Morelia
CAQUETA,CAQUETA,18592,PUERTO RICO,Puerto Rico
CAQUETA,CAQUETA,18610,SAN JOSE DEL FRAGUA,San Jose Del Fragua
CAQUETA,CAQUETA,18753,SAN VICENTE DEL CAGUÁN,San Vicente Del Caguán
CAQUETA,CAQUETA,18756,SOLANO,Solano
CAQUETA,CAQUETA,18785,SOLITA,Solita
CAQUETA,CAQUETA,18860,VALPARAISO,Valparaiso
CASANARE,CASANARE,85010,AGUAZUL,Aguazul
CASANARE,CASANARE,85015,CHAMEZA,Chameza
CASANARE,CASANARE,85125,HATO COROZAL,Hato Corozal
CASANARE,CASANARE,85136,LA SALINA,La Salina
CASANARE,CASANARE,85139,MANÍ,Maní
CASANARE,CASANARE,85162,MONTERREY,Monterrey
CASANARE,CASANARE,85225,NUNCHÍA,Nunchía
CASANARE,CASANARE,85230,OROCUÉ,Orocué
CASANARE,CASANARE,85250,PAZ DE ARIPORO,Paz De Ariporo
CASANARE,CASANARE,85263,PORE,Pore
CASANARE,CASANARE,85279,RECETOR,Recetor
CASANARE,CASANARE,85300,SABANALARGA,Sabanalarga
CASANARE,CASANARE,85315,SÁCAMA,Sácama
CASANARE,CASANARE,85325,SAN LUIS DE PALENQUE,San Luis De Palenque
CASANARE,CASANARE,85400,TÁMARA,Támara
CASANARE,CASANARE,85410,TAURAMENA,Tauramena
CASANARE,CASANARE,85430,TRINIDAD,Trinidad
CASANARE,CASANARE,85440,VILLANUEVA,Villanueva
CASANARE,CASANARE,85001,YOPAL,Yopal
